Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	RSI_Buy	RSI_Sell	Chaikin	%K	%D	OBV	signal	HOBV	HOBV_signal	MFI	ADX	plus	minus	
2023/12/29	05:22:28	17101.5	17104.25	17099	17101.75	17102.13	17098.88	 	17109.56	17115.38	1	0	-50.96	73.08	78.52	211841	212911.19	243020	244443.04	32.83	36.43	22.03	23.32	
2023/12/29	05:23:04	17101.75	17104	17100.5	17103.75	17103.75	17098.75	 	17109.56	17115.38	1	0	-19.88	70.83	75.45	212261	212821.31	243440	244246.52	31.91	33.3	19.53	20.68	
2023/12/29	05:24:19	17103.75	17104.25	17100.25	17101.5	17103.75	17098.75	 	17109.44	17115.25	0	1	-27.25	67.63	72.32	211849	212664.28	243028	243983.24	16.22	30.8	16.98	17.99	
2023/12/29	05:25:29	17101.25	17103.75	17098.5	17098.5	17103.5	17098.75	 	17106.25	17112.88	0	1	-93.67	61.87	68.14	211466	212464.94	242645	243685.8	16.58	33.06	14.19	20.51	
2023/12/29	05:26:17	17098.5	17102.25	17097.25	17100.5	17102.63	17098.75	 	17102.81	17109.75	0	1	-104.86	57.8	64	211876	212267.5	242235	243389.68	14.27	37.12	12.01	21.2	
2023/12/29	05:26:56	17100.25	17100.75	17096.5	17097.25	17102.25	17098.75	 	17102.81	17109.75	0	1	-148.93	43.14	55.66	211471	212094.64	241830	243133.88	14.29	41.55	10.44	20.74	
2023/12/29	05:27:58	17097.5	17098.25	17095.25	17097.5	17101	17098.75	 	17102.81	17109.75	0	1	-128.39	30	45.39	211912	211971.25	241389	242849.56	14.2	46.79	9.44	22.75	
2023/12/29	05:29:02	17097.25	17101.25	17097.25	17099.25	17100.38	17098.75	 	17102.69	17109.75	0	1	-109.85	27.52	38.25	212324	211885.44	241801	242568.56	28.86	38.05	17.89	19.82	
2023/12/29	05:29:44	17099	17102.75	17099	17101.25	17099.75	17098.75	 	17101.75	17109.75	0	1	-81.84	26.19	33.42	212672	211857.56	242149	242319.08	27.04	33.83	20.6	17.39	
2023/12/29	05:30:23	17101.75	17104	17100.75	17103.75	17099.75	17098.75	 	17101.31	17109.75	1	0	-8.29	39.52	35.86	213051	211907.17	242528	242132.24	41	33.24	22.54	15.5	
2023/12/29	05:31:07	17103.75	17104.25	17101	17102	17099.75	17098.75	 	17100.69	17109.75	1	0	5.15	48.56	40.94	212616	211988.06	242963	242038.32	40.25	33.33	20.88	13.76	
2023/12/29	05:32:03	17102.25	17106.75	17101.25	17106.5	17101	17098.75	 	17099.44	17109.75	1	0	76.57	64.68	50.44	213040	212122.81	243387	242106.36	54.96	37.85	25.28	11.3	
2023/12/29	05:32:37	17106.5	17107	17102.25	17103	17101.13	17098.75	 	17098.75	17109.63	1	0	65.24	70.26	58.36	212630	212275.53	243797	242303.32	54.86	41.82	22.25	9.59	
