Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	Chaikin	%K	%D	HOBV	signal	MFI	ADX	plus	minus	DMI	
2023/12/16	00:57:59	16866.14	16866.14	16858.5	16860.38	16865.5	16861.88	 	16852.38	16855.88	-30.76	29.77	37.77	171442	172998.92	24.05	35.77	5.29	22.93	32.36	
2023/12/16	00:58:08	16863.26	16863.75	16859	16861.44	16865.38	16861.88	 	16852.38	16855.88	-51.44	23.62	32.11	171010	172690.6	24.37	40.22	4.56	19.77	34.79	
2023/12/16	00:58:31	16862.35	16864.5	16854.75	16859.56	16862.55	16863.24	 	16852.81	16855.88	-60.99	19.61	27.11	170579	172332.2	24.69	46.3	3.41	25.81	27.6	
2023/12/16	00:58:54	16860.96	16860.96	16854.75	16855.94	16862.5	16864.4	 	16853.63	16855.88	-104.68	13.6	21.71	170173	171931.44	12.83	51.36	2.85	21.62	31.23	
2023/12/16	00:59:17	16858.45	16859.5	16854.5	16856.56	16862.25	16865.5	 	16854	16855.88	-135.03	13.54	18.44	169765	171509.56	0	55.7	2.47	19.37	33.1	
2023/12/16	00:59:43	16857.5	16861	16856.75	16858.94	16861.88	16865.5	 	16854.25	16855.25	-142.45	15.38	17.22	170162	171102.88	12.12	53.92	6.42	16.93	39.5	
2023/12/16	01:00:10	16858.22	16863.75	16858.22	16861.56	16861.88	16865.5	 	16855.13	16855.25	-121.16	19.09	17.97	170665	170750	29.32	45.5	13.3	14.24	49.06	
2023/12/16	01:00:29	16859.89	16865	16859.89	16863.69	16861.75	16865.5	 	16856.63	16856.38	-73.19	31.88	23.53	171028	170517.36	42.96	39.68	14.97	12.11	52.86	
2023/12/16	01:01:00	16861.79	16865	16859.5	16862.25	16860.32	16865.5	 	16857.19	16856.38	-42.47	42.22	31.01	171391	170432.24	43.99	33.93	12.54	11.3	51.24	
2023/12/16	01:01:15	16862.02	16862.02	16854.5	16857.06	16859.75	16865.5	 	16857.19	16856.38	-41.46	40.95	34.99	171044	170485.08	45.32	34.87	9.85	22.74	37.1	
2023/12/16	01:01:36	16859.54	16859.54	16853.25	16856.31	16859.13	16864.88	 	16857.87	16856.38	-40.31	35.75	35.29	170656	170608.88	45.62	36.8	8.14	22.25	35.89	
2023/12/16	01:02:00	16857.93	16861.5	16857.5	16859.56	16859.13	16864.88	 	16858.45	16856.38	-35.53	31.13	33.63	171020	170760.68	59.71	34.12	12.47	18.99	43.48	
2023/12/16	01:02:33	16858.74	16862.5	16858.5	16860.44	16859.13	16864.88	 	16859.8	16857	-32.75	30.24	32.27	171375	170908.4	59.08	29.93	13.97	16.73	47.24	
2023/12/16	01:03:09	16859.59	16863.5	16858.5	16860.5	16859.13	16864.88	 	16862.18	16858.75	-41.26	39.27	35.07	171731	171021	56.71	25.34	14.88	14.19	50.69	
2023/12/16	01:03:57	16860.05	16864.75	16860.05	16862.38	16859.13	16864.88	 	16863.2	16859.25	-44.26	52.98	42.23	172086	171124.12	56.57	23.72	16.59	12.11	54.48	
2023/12/16	01:04:53	16861.21	16864.5	16859.75	16862.13	16859.13	16864.88	 	16864.5	16860.25	-43.47	62.21	50.22	172479	171280.4	55.91	21.65	14.09	11.23	52.87	
2023/12/16	01:05:38	16861.67	16862	16858.25	16859.81	16859.13	16863.75	 	16864.5	16860.25	-49.95	66.08	56.57	172143	171467.4	56.15	19.57	12.28	14.76	47.53	
2023/12/16	01:06:04	16860.74	16860.74	16853.75	16856.25	16859	16862.88	 	16864.5	16860.25	-71.8	58.64	57.4	171700	171653.52	54.96	23.86	9.61	25.55	34.06	
2023/12/16	01:06:21	16858.5	16858.5	16850.25	16852.38	16857.5	16861.25	 	16864.5	16860.25	-112.65	41.13	50.89	171295	171808.6	40.34	29.91	7.35	29.53	27.82	
2023/12/16	01:06:31	16855.44	16855.44	16848	16850.31	16856.38	16859.18	 	16864.56	16860.25	-160.33	25.34	40.67	170799	171870.52	25.54	36.09	5.86	29.68	26.18	
2023/12/16	01:06:42	16852.87	16852.87	16849.5	16851.19	16856.38	16859.13	 	16864.63	16860.25	-177.89	17.56	31.43	170365	171774.96	12.41	41.25	5.27	26.72	28.55	
2023/12/16	01:07:06	16852.03	16852.5	16847	16849.75	16855.88	16858.5	 	16865.37	16860.25	-177.76	15.54	25.07	169942	171546.44	0	46.74	4.41	29.78	24.64	
2023/12/16	01:07:25	16850.89	16850.89	16843	16845.5	16853.88	16856.13	 	16865.5	16860.25	-194.92	14.58	20.87	169498	171216.84	0	52.58	3.45	34.36	19.09	
2023/12/16	01:07:30	16848.2	16850	16844.75	16847.5	16853.75	16856.13	 	16865.75	16860.25	-190.56	16.48	19.12	169884	170848.24	12.73	57.44	2.93	29.24	23.69	
2023/12/16	01:07:50	16847.85	16849.75	16844.25	16847.44	16852.5	16856	 	16863.94	16860.25	-167.34	17.04	18.29	169499	170479.12	12.98	61.65	2.47	26.07	26.41	
2023/12/16	01:08:18	16847.64	16847.75	16843.5	16845.13	16851.87	16854.57	 	16863.69	16860.25	-159.97	15.59	17.21	169121	170144.8	13.1	65.39	2.16	24.99	27.16	
2023/12/16	01:08:54	16846.38	16849.75	16843.25	16846.5	16850.75	16854	 	16863.63	16860.25	-146.99	16.74	17.02	169481	169880.08	26.55	62.08	7.58	20.25	37.33	
2023/12/16	01:09:17	16846.44	16853.5	16846.44	16850.25	16849.22	16854	 	16862.9	16860.25	-126.03	19.9	18.17	169904	169719.68	41.77	51.92	16.61	16.24	50.37	
2023/12/16	01:09:33	16848.35	16850.25	16846.25	16848.69	16848.25	16854	 	16863.45	16860.25	-93.5	21.4	19.46	169523	169601.28	42.4	43.4	14.64	14.88	49.76	
2023/12/16	01:10:07	16848.52	16849.75	16844.25	16846.75	16848.25	16854	 	16863.88	16860.25	-76.31	24.03	21.29	169122	169519.8	43.07	39.52	12.24	18.4	43.84	
2023/12/16	01:10:49	16847.63	16847.63	16840.5	16842.94	16847	16852.75	 	16863.69	16860.25	-85.68	23.18	22.05	168683	169470.56	28.3	40.34	9.75	25.34	34.41	
2023/12/16	01:11:04	16845.29	16845.29	16840	16842.31	16846.75	16852.5	 	16863.69	16860.25	-94.9	17.91	20.39	168262	169391	27.94	41.45	8.26	22.91	35.35	
2023/12/16	01:11:18	16843.8	16847.75	16843.5	16845.13	16846.75	16852.5	 	16863.63	16860.25	-110.9	18.62	19.68	168674	169246	42.13	37.1	14.15	19.27	44.88	
2023/12/16	01:11:40	16844.46	16847	16841.25	16843.75	16846.75	16852.5	 	16862.91	16860.25	-121.48	20.13	19.86	168313	169067.04	29.43	36.16	11.78	22.6	39.17	
2023/12/16	01:12:14	16844.11	16844.11	16839.25	16841	16846.38	16852	 	16862.63	16860.25	-138.9	20.98	20.31	167920	168855.08	14.67	37.32	10.06	25.3	34.76	
2023/12/16	01:12:39	16842.55	16842.55	16838.25	16839.5	16845.88	16851.5	 	16862	16860.25	-169	20.32	20.31	167517	168614	14.56	39.15	8.72	25.03	33.69	
2023/12/16	01:12:55	16841.03	16841.75	16838.25	16840.06	16844.25	16851.5	 	16862	16860.25	-173.73	14.7	18.07	167079	168374.36	14.37	40.68	7.71	22.14	35.57	
2023/12/16	01:13:16	16840.54	16845.75	16840.54	16843.38	16844	16851.5	 	16862	16860.25	-160.7	16.56	17.47	167491	168136.6	29.02	34.42	19.23	18.07	51.16	
2023/12/16	01:13:31	16841.96	16845.75	16841	16844.06	16843	16851.5	 	16862	16860.25	-128.03	22.95	19.66	167833	167928.04	42.24	29.2	16.23	15.25	50.98	
2023/12/16	01:14:06	16843.01	16851.25	16843.01	16847.88	16844.75	16851.5	 	16862	16860.25	-90.81	36.68	26.47	168230	167779.96	41.92	31.43	28.59	11.52	67.07	
2023/12/16	01:14:17	16845.44	16853.5	16845.44	16851.63	16845.88	16851.38	 	16862	16860.25	-30.25	55.64	38.13	168621	167722.68	55.56	34.88	28.45	8.95	69.49	
